Symbol,Units,Security Type,IPO Date,Exchange,Market Cap,Meger Pending?,Close,Shares,Expiration,Yield*
CFFS,CF Acquisition Corp. VII Class A,Common stocks,2/9/2022,NASDAQ Capital Market,"$185,317,000 ",N,9.91,"18,700,000",7/9/2022,6.411%
THAC,Thrive Acquisition Corporation Class A,Common stocks,12/8/2021,NASDAQ Global Market,"$172,672,500 ",N,10.02,"17,250,000",5/7/2022,5.988%
JGGC,Jaguar Global Growth Corporation I - Class A,Common stocks,4/4/2022,NASDAQ Global Market,"$226,320,000 ",N,9.83,"23,000,000",9/1/2022,5.929%
MNTN,Everest Consolidator Acquisition Corporation,Common stocks,1/14/2022,New York Stock Exchange,$0 ,N,9.96,0,6/13/2022,5.783%
ATAK,Aurora Technology Acquisition Corp. Class A,Common stocks,3/20/2022,NASDAQ Global Market,"$199,172,000 ",N,9.86,"20,200,000",8/17/2022,5.680%
AOGO,Arogo Capital Acquisition Corp. - Class A,Common stocks,2/10/2022,NASDAQ Global Market,"$107,552,888 ",N,9.92,"10,842,025",7/10/2022,5.583%
ASCA,A SPAC I Acquisition Corp. - Class A,Common stocks,3/17/2022,NASDAQ Capital Market,"$68,241,000 ",N,9.87,"6,900,000",8/14/2022,5.450%
ALAC,Alberton Acquisition Corporation,Common stocks,11/21/2018,NASDAQ Capital Market,$0 ,Y,12.02,"4,480,119",4/20/2019,5.378%
REVE,Alpine Acquisition Corporation,Common stocks,10/21/2021,NASDAQ Capital Market,"$137,261,500 ",N,10.09,"13,550,000",3/20/2022,5.352%
VBOC,Viscogliosi Brothers Acquisition Corp,Common stocks,2/28/2022,NASDAQ Global Market,"$205,941,300 ",N,9.9,"20,793,750",7/28/2022,5.195%
SHAP,Spree Acquisition Corp. 1 Limited,Common stocks,2/7/2022,New York Stock Exchange,"$198,800,000 ",N,9.93,"20,000,000",7/7/2022,5.179%
OLIT,OmniLit Acquisition Corp. Class A,Common stocks,1/24/2022,NASDAQ Global Market,"$143,390,625 ",N,9.95,"14,375,000",6/23/2022,5.169%
VMGA,VMG Consumer Acquisition Corp. Class A,Common stocks,1/3/2022,NASDAQ Global Market,"$228,390,000 ",N,9.98,"23,000,000",6/2/2022,5.153%
BWAQ,Blue World Acquisition Corporation Class A,Common stocks,3/15/2022,NASDAQ Global Market,"$118,448,352 ",N,9.88,"11,964,480",8/12/2022,5.144%
GOGN,GoGreen Investments Corporation Class A,Common stocks,12/13/2021,New York Stock Exchange,"$289,639,350 ",N,10.01,"28,935,000",5/12/2022,5.138%
FOUN,Founder SPAC - Class A,Common stocks,12/6/2021,NASDAQ Global Market,"$316,882,500 ",Y,10.02,"31,625,000",5/5/2022,5.133%
LIVB,LIV Capital Acquisition Corp. II Class A,Common stocks,3/8/2022,NASDAQ Global Market,"$115,403,400 ",N,9.9,"11,610,000",8/5/2022,4.662%
AGBA,AGBA Acquisition Limited,Common stocks,7/15/2019,NASDAQ Capital Market,"$56,693,943 ",N,11.29,"5,021,607",12/12/2019,4.627%
ACBA,Ace Global Business Acquisition Limited,Common stocks,5/21/2021,NASDAQ Capital Market,"$61,992,960 ",N,10.28,"6,054,000",10/18/2021,4.603%
HCCC,Healthcare Capital Corp. - Class A,Common stocks,2/21/2017,NASDAQ Capital Market,"$350,350,000 ",Y,12.74,"27,500,000",7/21/2017,4.392%
DUET,DUET Acquisition Corp. - Class A,Common stocks,3/14/2022,NASDAQ Global Market,"$89,829,338 ",N,9.9,"9,101,250",8/11/2022,4.329%
NLIT,Northern Lights Acquisition Corp. - Class A,Common stocks,8/18/2021,NASDAQ Capital Market,"$122,085,976 ",N,10.15,"12,028,175",1/15/2022,4.290%
RWOD,Redwoods Acquisition Corp.,Common stocks,4/28/2022,NASDAQ Global Market,"$145,770,900 ",N,9.85,"14,905,000",9/25/2022,4.250%
WNNR,Andretti Acquisition Corp.,Common stocks,3/7/2022,New York Stock Exchange,"$227,930,000 ",N,9.91,"23,000,000",8/4/2022,4.246%
CLOE,Clover Leaf Capital Corp. - Class A,Common stocks,9/9/2021,NASDAQ Capital Market,"$148,208,766 ",N,10.12,"14,645,135",2/6/2022,4.185%
CXAC,C5 Acquisition Corporation Class A,Common stocks,2/28/2022,New York Stock Exchange,"$285,200,000 ",N,9.92,"28,750,000",7/28/2022,4.147%
DKDCA,Data Knights Acquisition Corp. - Class A,Common stocks,6/23/2021,NASDAQ Capital Market,"$123,269,805 ",N,10.21,"12,085,275",11/20/2021,4.114%
NETC,Nabors Energy Transition Corp. Class A,Common stocks,1/7/2022,New York Stock Exchange,"$275,448,000 ",N,9.98,"27,600,000",6/6/2022,4.008%
CLIN,Clean Earth Acquisitions Corp. - Class A,Common stocks,4/18/2022,NASDAQ Global Market,"$234,122,000 ",N,9.87,"23,890,000",9/15/2022,3.985%
GSRM,GSR II Meteora Acquisition Corp. - Class A,Common stocks,4/18/2022,NASDAQ Global Market,"$311,190,000 ",N,9.87,"31,625,000",9/15/2022,3.985%
ITAQ,"Industrial Tech Acquisitions II, Inc. Class A",Common stocks,3/3/2022,NASDAQ Global Market,"$171,120,000 ",N,9.92,"17,250,000",7/31/2022,3.977%
PPYA,Papaya Growth Opportunity Corp. I Class A,Common stocks,3/3/2022,NASDAQ Global Market,"$298,745,760 ",N,9.92,"30,115,500",7/31/2022,3.977%
RFAC,RF Acquisition Corp. - Class A,Common stocks,4/19/2022,NASDAQ Global Market,"$114,660,000 ",N,9.87,"11,700,000",9/16/2022,3.951%
APXI,APx Acquisition Corp. I Class A Ordinary Share,Common stocks,1/26/2022,NASDAQ Global Market,"$172,155,000 ",N,9.96,"17,250,000",6/25/2022,3.908%
ACAB,Atlantic Coastal Acquisition Corp. II Class A,Common stocks,3/7/2022,NASDAQ Global Market,"$297,600,000 ",N,9.92,"30,000,000",8/4/2022,3.770%
WAVS,Western Acquisition Ventures Corp.,Common stocks,4/10/2022,NASDAQ Global Market,"$145,739,880 ",N,9.89,"14,751,000",9/7/2022,3.607%
APN,Apeiron Capital Investment Corp. Class A,Common stocks,12/30/2021,New York Stock Exchange,"$172,327,500 ",N,9.99,"17,250,000",5/29/2022,3.604%
SNII,"Supernova Partners Acquisition Company II, Ltd. Class A",Common stocks,4/22/2021,New York Stock Exchange,"$353,280,000 ",Y,10.24,"34,500,000",9/19/2021,3.487%
TLGY,TLGY Acquisition Corporation Class A Ordinary Share,Common stocks,1/21/2022,NASDAQ Global Market,"$229,310,000 ",N,9.97,"23,000,000",6/20/2022,3.385%
GGPI,"Gores Guggenheim, Inc. Class A",Common stocks,5/13/2021,NASDAQ Capital Market,"$824,000,000 ",Y,10.21,"80,000,000",10/10/2021,3.350%
IVCB,Investcorp Europe Acquisition Corp I Class A,Common stocks,2/2/2022,NASDAQ Global Market,"$343,620,000 ",N,9.96,"34,500,000",7/2/2022,3.286%
MAQC,Maquia Capital Acquisition Corporation - Class A,Common stocks,6/7/2021,NASDAQ Capital Market,"$181,797,574 ",N,10.18,"17,893,462",11/4/2021,3.248%
GRCY,Greencity Acquisition Corporation,Common stocks,8/28/2020,NASDAQ Capital Market,"$54,914,926 ",N,10.45,"5,260,000",1/25/2021,3.236%
VENA,Venus Acquisition Corporation,Common stocks,4/13/2021,NASDAQ Capital Market,"$61,831,000 ",N,10.22,"6,050,000",9/10/2021,3.087%
BENE,Benessere Capital Acquisition Corp. - Class A,Common stocks,1/28/2021,NASDAQ Capital Market,"$110,234,897 ",Y,10.28,"10,723,239",6/27/2021,3.008%
JMAC,Maxpro Capital Acquisition Corp. Class A,Common stocks,11/26/2021,NASDAQ Global Market,"$108,617,051 ",N,10.02,"10,840,025",4/25/2022,2.994%
VCXB,10X Capital Venture Acquisition Corp. III,Common stocks,3/3/2022,New York Stock Exchange,"$310,595,410 ",N,9.94,"31,153,000",7/31/2022,2.977%
GLAQ,Globis Acquisition Corp.,Common stocks,2/5/2021,NASDAQ Capital Market,"$154,617,207 ",Y,10.27,"15,050,833",7/5/2021,2.976%
ADRT,Ault Disruptive Technologies Corporation,Common stocks,2/7/2022,NYSE American,"$143,175,000 ",N,9.96,"14,375,000",7/7/2022,2.951%
PONO,Pono Capital Corp Class A,Common stocks,10/8/2021,NASDAQ Capital Market,"$120,841,877 ",N,10.06,"12,021,675",3/7/2022,2.941%
AFARU,Aura FAT Projects Acquisition Corp - Units (1 Ord Class A & 1 War),Units,4/13/2022,NASDAQ Global Market,"$99,454,000 ",N,9.91,"10,000,000",9/10/2022,2.868%
