Symbol,Name,Category,Exercise Price,Last Close Price,Issuer Last Close Price,Issuer Market cap,20 Day Average Volume,Issuer Symbol,Issuer,Type,Profit,Return
KPLTW,"Katapult Holdings, Inc. - Warrant",Operating Companies,$0.00 ,$0.15 ,$1.27 ,"$126,582,555 ","55,819",KPLT,"Katapult Holdings, Inc.",Common stocks,1.12,746.67%
AP+,Ampco-Pittsburgh Corporation Series A Warrants to purchase Shares of common stock,Operating Companies,$0.00 ,$0.55 ,$4.64 ,"$86,549,317 ","1,276",AP,Ampco Pittsburgh Corp,Common stocks,4.09,743.64%
HCDIW,"Harbor Custom Development, Inc. - Warrant",Operating Companies,$0.00 ,$0.23 ,$1.94 ,"$28,873,219 ","12,216",HCDI,"Harbor Custom Development, Inc.",Common stocks,1.71,743.48%
TBLAW,Taboola.com Ltd. - Warrant,Operating Companies,$0.00 ,$0.41 ,$3.33 ,"$699,754,930 ","11,001",TBLA,Taboola.com Ltd.,Common stocks,2.92,712.20%
NDRAW,ENDRA Life Sciences Inc. Warrants,Operating Companies,$0.00 ,$0.03 ,$0.24 ,"$14,530,125 ","67,328",NDRA,Endra Life Sciences Inc.,Common stocks,0.21,700.00%
RVPHW,"Reviva Pharmaceuticals Holdings, Inc. - Warrants",Operating Companies,$0.00 ,$0.23 ,$1.79 ,"$24,969,922 ","17,017",RVPH,"Reviva Pharmaceuticals Holdings, Inc.",Common stocks,1.56,678.26%
FSRDW,"Fast Radius, Inc. - Warrants",Operating Companies,$0.00 ,$0.07 ,$0.54 ,"$38,813,712 ","75,296",FSRD,"Fast Radius, Inc. - Class A",Common stocks,0.47,671.43%
REEAW,REE Automotive Ltd. - Warrant,Operating Companies,$0.00 ,$0.23 ,$1.76 ,"$442,509,569 ","22,227",REE,REE Automotive Ltd. - Class A,Common stocks,1.53,665.22%
CZOO+,Cazoo Group Ltd Warrants,Operating Companies,$0.00 ,$0.20 ,$1.53 ,"$165,938,898 ","31,249",CZOO,Cazoo Group Ltd Class A,Common stocks,1.33,665.00%
PTIXW,"Protagenic Therapeutics, Inc. Warrant",Operating Companies,$0.00 ,$0.10 ,$0.76 ,"$13,828,209 ","11,549",PTIX,Protagenic Therapeutics Inc.,Common stocks,0.66,660.00%
EFTRW,"eFFECTOR Therapeutics, Inc. - Warrant",Operating Companies,$0.00 ,$0.23 ,$1.72 ,"$70,372,098 ","2,735",EFTR,"eFFECTOR Therapeutics, Inc.",Common stocks,1.49,647.83%
RELIW,"Reliance Global Group, Inc. Series A Warrants",Operating Companies,$0.00 ,$0.32 ,$2.36 ,"$25,735,237 ","11,694",RELI,Reliance Global Group Inc.,Common stocks,2.04,637.50%
